,oxy1_adc,mV0_1,oxy2_adc,mV0_2
637,108,0.001687,107,0.001672
638,108,0.001687,106,0.001656
639,108,0.001687,106,0.001656
640,107,0.001672,106,0.001656
641,107,0.001672,106,0.001656
642,109,0.001703,106,0.001656
643,108,0.001687,105,0.001641
644,108,0.001687,105,0.001641
645,108,0.001687,105,0.001641
646,107,0.001672,105,0.001641
647,108,0.001687,106,0.001656
648,108,0.001687,106,0.001656
649,108,0.001687,105,0.001641
650,106,0.001656,106,0.001656
651,106,0.001656,106,0.001656
652,109,0.001703,105,0.001641
653,108,0.001687,105,0.001641
654,108,0.001687,106,0.001656
655,108,0.001687,105,0.001641
656,108,0.001687,107,0.001672
657,108,0.001687,107,0.001672
658,107,0.001672,105,0.001641
659,107,0.001672,106,0.001656
660,108,0.001687,106,0.001656
661,107,0.001672,106,0.001656
662,109,0.001703,107,0.001672
663,108,0.001687,105,0.001641
664,108,0.001687,106,0.001656
665,107,0.001672,105,0.001641
666,107,0.001672,106,0.001656
667,107,0.001672,106,0.001656
668,107,0.001672,106,0.001656
669,108,0.001687,106,0.001656
670,106,0.001656,106,0.001656
671,107,0.001672,106,0.001656
672,107,0.001672,105,0.001641
673,108,0.001687,105,0.001641
674,109,0.001703,106,0.001656
675,108,0.001687,105,0.001641
676,107,0.001672,105,0.001641
677,107,0.001672,105,0.001641
678,108,0.001687,106,0.001656
679,107,0.001672,105,0.001641
680,107,0.001672,105,0.001641
681,107,0.001672,105,0.001641
682,108,0.001687,106,0.001656
683,108,0.001687,105,0.001641
684,108,0.001687,105,0.001641
685,109,0.001703,106,0.001656
686,108,0.001687,106,0.001656
687,107,0.001672,105,0.001641
688,107,0.001672,105,0.001641
689,108,0.001687,106,0.001656
690,107,0.001672,106,0.001656
691,107,0.001672,105,0.001641
692,107,0.001672,105,0.001641
693,108,0.001687,106,0.001656
694,108,0.001687,106,0.001656
695,107,0.001672,106,0.001656
696,108,0.001687,106,0.001656
697,108,0.001687,105,0.001641
698,106,0.001656,105,0.001641
699,107,0.001672,106,0.001656
700,107,0.001672,105,0.001641
701,106,0.001656,105,0.001641
702,106,0.001656,104,0.001625
703,107,0.001672,105,0.001641
704,107,0.001672,106,0.001656
705,106,0.001656,105,0.001641
706,107,0.001672,104,0.001625
707,107,0.001672,106,0.001656
708,108,0.001687,104,0.001625
709,107,0.001672,106,0.001656
710,107,0.001672,106,0.001656
711,107,0.001672,105,0.001641
712,106,0.001656,105,0.001641
713,107,0.001672,105,0.001641
714,107,0.001672,105,0.001641
715,106,0.001656,106,0.001656
716,107,0.001672,105,0.001641
717,107,0.001672,106,0.001656
718,107,0.001672,105,0.001641
719,108,0.001687,105,0.001641
720,106,0.001656,105,0.001641
721,108,0.001687,105,0.001641
722,106,0.001656,104,0.001625
723,107,0.001672,104,0.001625
724,107,0.001672,104,0.001625
725,107,0.001672,105,0.001641
726,108,0.001687,105,0.001641
727,107,0.001672,105,0.001641
728,108,0.001687,105,0.001641
729,108,0.001687,104,0.001625
730,106,0.001656,105,0.001641
731,106,0.001656,106,0.001656
732,107,0.001672,104,0.001625
733,107,0.001672,104,0.001625
734,107,0.001672,105,0.001641
735,107,0.001672,104,0.001625
736,107,0.001672,105,0.001641
737,107,0.001672,105,0.001641
738,108,0.001687,104,0.001625
739,106,0.001656,106,0.001656
740,107,0.001672,105,0.001641
741,107,0.001672,106,0.001656
742,107,0.001672,105,0.001641
743,107,0.001672,106,0.001656
744,107,0.001672,106,0.001656
745,107,0.001672,106,0.001656
746,107,0.001672,106,0.001656
747,106,0.001656,106,0.001656
748,107,0.001672,105,0.001641
749,107,0.001672,106,0.001656
750,108,0.001687,106,0.001656
751,107,0.001672,105,0.001641
752,106,0.001656,106,0.001656
753,106,0.001656,105,0.001641
754,107,0.001672,105,0.001641
755,107,0.001672,105,0.001641
756,107,0.001672,106,0.001656
757,106,0.001656,104,0.001625
758,106,0.001656,105,0.001641
759,106,0.001656,105,0.001641
760,107,0.001672,104,0.001625
761,106,0.001656,104,0.001625
762,106,0.001656,105,0.001641
763,106,0.001656,105,0.001641
